Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Farley's East,1,"cafe, point_of_interest, food, store, establishment",33 Grand Avenue 94612,94612,Oakland,California,United States
Starbucks,2,"cafe, restaurant, point_of_interest, food, store, establishment",2727 Mariposa Street 94110,94110,San Francisco,California,United States
The Law Café,,"cafe, bakery, restaurant, food, store, point_of_interest, establishment",200 McAllister Street 94102,94102,San Francisco,California,United States
Peet's Coffee,1,"cafe, restaurant, food, point_of_interest, store, establishment",3258 Lakeshore Avenue 94610,94610,Oakland,California,United States
Cafe Milano,1,"cafe, food, point_of_interest, establishment",2522 Bancroft Way 94704,94704,Berkeley,California,United States
Cafe Madeleine,1,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",149 New Montgomery Street 94105,94105,San Francisco,California,United States
Yali's Café,1,"cafe, store, restaurant, point_of_interest, food, establishment",1920 Oxford Street 94704,94704,Berkeley,California,United States
McDonald's,1,"cafe, restaurant, food, store, point_of_interest, establishment",1100 Fillmore Street 94102,94102,San Francisco,California,United States
Duboce Park Cafe,2,"cafe, restaurant, store, food, point_of_interest, establishment",2 Sanchez Street 94114,94114,San Francisco,California,United States
Atlas Cafe,1,"cafe, bar, restaurant, food, store, point_of_interest, establishment",3049 20th Street 94110,94110,San Francisco,California,United States
Place,Price Range,Types,Address,Postal Code,City,State,Country
Purple Cafe and Wine Bar,3,"bar, cafe, restaurant, food, point_of_interest, establishment",1225 4th Avenue 98101,98101,Seattle,Washington,United States
Portage Bay Cafe - South Lake Union,2,"cafe, restaurant, food, point_of_interest, establishment",391 Terry Avenue North 98109,98109,Seattle,Washington,United States
Starbucks,2,"cafe, restaurant, food, store, point_of_interest, establishment",1912 Pike Place 98101,98101,Seattle,Washington,United States
Portage Bay Cafe - Roosevelt,2,"cafe, restaurant, food, point_of_interest, establishment",4130 Roosevelt Way Northeast 98105,98105,Seattle,Washington,United States
Barnes & Noble,2,"book_store, cafe, point_of_interest, food, store, establishment",19401 Alderwood Mall Parkway 98036,98036,Lynnwood,Washington,United States
Oddfellows Café + Bar,2,"restaurant, bar, cafe, food, point_of_interest, establishment",1525 10th Avenue 98122,98122,Seattle,Washington,United States
Top Pot Doughnuts,1,"cafe, bakery, store, restaurant, point_of_interest, food, establishment",2124 5th Avenue 98121,98121,Seattle,Washington,United States
