Number,Id,Place,Price Range,Category,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
77,ChIJuxOaTTEOmogRPjCGq63azDg,Tanger Outlets Foley,,shopping_mall,"shopping_mall, point_of_interest, establishment","2601 S McKenzie St, Foley, AL 36535, USA 36535",36535,Foley,Alabama,United States,30.3763263,-87.68018719999999
78,ChIJESOuQmvAkIgRtKV7vjNule8,China Max,1,shopping_mall,"shopping_mall, restaurant, food, point_of_interest, establishment","5100 N 9th Ave, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.47485779999999,-87.2075368
79,ChIJXzrPTRPAkIgRitGCsHfp3tw,Cordova Mall,,shopping_mall,"shopping_mall, point_of_interest, establishment","5100 N 9th Ave, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4751138,-87.2072414
80,ChIJO6MIfFWVkIgRjlx54tAjx00,University Town Plaza,,shopping_mall,"shopping_mall, point_of_interest, establishment","7171 N Davis Hwy, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4988155,-87.2240954
81,ChIJvfvStq0FmogRzhDmwHKhsDA,The Wharf,,shopping_mall,"tourist_attraction, shopping_mall, restaurant, point_of_interest, food, establishment","23101 Canal Rd, Orange Beach, AL 36561, USA 36561",36561,Orange Beach,Alabama,United States,30.2930829,-87.62887529999999
82,ChIJZ0nmzPm_kIgRjF0T6y0Nk8o,Pensacola Square,,shopping_mall,"shopping_mall, point_of_interest, establishment","6235 N Davis Hwy, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4883311,-87.22487489999999
83,ChIJ4f9yJcO-kIgRhbl1S0mjhiw,Pensacola Plaza,,shopping_mall,"shopping_mall, point_of_interest, establishment","4324 Lillian Hwy, Pensacola, FL 32506, USA 32506",32506,Pensacola,Florida,United States,30.4272516,-87.2730132
84,ChIJU7YFyf6_kIgRWHtUQVEzatg,Tradewinds Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","6601 N Davis Hwy, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4905452,-87.22406
85,ChIJEY1H4zy5kIgRH1dxJeYN5zI,Warrington Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","4051 Barrancas Ave, Pensacola, FL 32507, USA 32507",32507,Pensacola,Florida,United States,30.3875713,-87.27375579999999
86,ChIJYfrDfjYOmogRQSpzSqqJbS4,Pro Image Sports,,shopping_mall,"shopping_mall, clothing_store, store, point_of_interest, establishment","2601 S McKenzie St #118, Foley, AL 36535, USA 36535",36535,Foley,Alabama,United States,30.3763458,-87.680078
87,ChIJVVVVVSU-mYARXmmzIEwqId8,Barnes & Noble,2,book_store,"book_store, cafe, store, point_of_interest, food, establishment","Meadow Wood Court, 5555 S Virginia St, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.475386,-119.790059
88,ChIJuVU0cH4_mYARJZZRGAz-_EM,Grassroots Books,,book_store,"book_store, movie_rental, finance, point_of_interest, store, establishment","660 E Grove St, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.5003387,-119.7868707
89,ChIJsRuSdXhAmYARo6QPPBITgzo,Savers,1,book_store,"book_store, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment","3800 S Kietzke Ln #250, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4869889,-119.7868567
90,ChIJV0zwaIJHmYARVth39yAI8aY,Truckee Meadows Comm Bookstr,,book_store,"book_store, store, point_of_interest, establishment","Vista Building, 7000 Dandini Blvd, Reno, NV 89512, USA 89512",89512,Reno,Nevada,United States,39.5702551,-119.7972468
91,ChIJqZowyvc_mYARlD0sO-7m2pY,"Once Upon A Child - Reno, NV",,book_store,"book_store, clothing_store, shoe_store, furniture_store, home_goods_store, store, point_of_interest, establishment","5000 Smithridge Dr # A21, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4784079,-119.7887368
92,ChIJVU8Doj1wmYARzYHkOcRUpKM,North Lake Tahoe Bonanza,,book_store,"book_store, point_of_interest, store, establishment","925 Tahoe Blvd UNIT 206, Incline Village, NV 89451, USA 89451",89451,Incline Village,Nevada,United States,39.2490719,-119.9492545
93,ChIJ9VzBmEI_mYARrKIGYej3lA4,"LeRue Press, LLC",,book_store,"book_store, store, point_of_interest, establishment","280 Greg St #10, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.5183045,-119.7759891
94,ChIJbaDpU6c_mYARDbMCdL32qeQ,Urban Family Magazine,,book_store,"book_store, store, point_of_interest, establishment","572 Reactor Wy, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.503542,-119.759676
95,ChIJO8MrHpFAmYARM03xgvrfchg,Church of Inner Light,,book_store,"book_store, store, point_of_interest, establishment","20 Hillcrest Dr, Reno, NV 89509, USA 89509",89509,Reno,Nevada,United States,39.5045187,-119.8034541
96,ChIJR0n7qDRHmYARDnkl2tOnRws,St Thomas Aquinas Book Store,,book_store,"book_store, point_of_interest, store, establishment","310 W 2nd St, Reno, NV 89503, USA 89503",89503,Reno,Nevada,United States,39.5258885,-119.8176432
97,ChIJndETmUI_mYAR2Mh3fdSA76I,LRP Printing ~ Publishing ~ Business Center,,book_store,"book_store, store, point_of_interest, establishment","280 Greg St #10, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.5183045,-119.7759891
98,ChIJV0zwaIJHmYARc0wzh8Wvb4g,TMCC Bookstore - Lizard Book Nook,,book_store,"book_store, clothing_store, store, point_of_interest, establishment","7000 Dandini Blvd, Reno, NV 89512, USA 89512",89512,Reno,Nevada,United States,39.571915,-119.7972567
99,ChIJdV6tIkVHmYARZxUqaNSfxLg,Just Between Friends of Reno,,book_store,"shoe_store, book_store, clothing_store, store, point_of_interest, establishment","Twice a Year at the Reno, Convention Center, 4590 S Virginia St, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4858093,-119.7913106
100,ChIJK7EU2BNEmYARW-C_Ppa9rdU,Calvary Chapel Northwest Reno,,book_store,"book_store, church, place_of_worship, point_of_interest, store, establishment","246 Courtney Ln, Reno, NV 89523, USA 89523",89523,Reno,Nevada,United States,39.5152402,-119.8993222
101,ChIJ2QgS3alOmYARzHMxz6cfKKE,Better World Books,,book_store,"storage, book_store, store, point_of_interest, establishment","14525 Industry Cir Suite 200, Reno, NV 89506, USA 89506",89506,Reno,Nevada,United States,39.6558652,-119.8888612
102,ChIJXbW4wcDfm4AR_k1CK858vLc,Word After Word Books,,book_store,"book_store, point_of_interest, store, establishment","10052 Donner Pass Rd, Truckee, CA 96161, USA 96161",96161,Truckee,California,United States,39.3281324,-120.1847231
103,ChIJFYAyv8Dfm4AR2LhKrpbbnSI,Bespoke,,book_store,"book_store, clothing_store, home_goods_store, jewelry_store, store, point_of_interest, establishment","10098 Donner Pass Rd, Truckee, CA 96161, USA 96161",96161,Truckee,California,United States,39.3280331,-120.1855959
104,ChIJBQUxbZkKmYARoIBnbzquuCg,Browsers Corner Book Store,,book_store,"book_store, movie_rental, store, point_of_interest, establishment","711 E Washington St, Carson City, NV 89701, USA 89701",89701,Carson City,Nevada,United States,39.16856810000001,-119.7613804
105,ChIJ5aTC_e8UmYAR6o_ba4bqm8A,Learning Express Toys,,book_store,"book_store, store, point_of_interest, establishment","South Towne Crossing, 197 Damonte Ranch Pkwy D, Reno, NV 89521, USA 89521",89521,Reno,Nevada,United States,39.4212307,-119.7551491
106,ChIJI0NLByxHmYARJhNTAGd3vOg,Sundance Bookstore,,book_store,"book_store, store, point_of_interest, establishment","121 California Ave, Reno, NV 89509, USA 89509",89509,Reno,Nevada,United States,39.5204391,-119.8124695
