Place_id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
ChIJiY3WuCPkjYARzcKpuYuDbY0,Hyatt Regency Monterey Hotel And Spa On Del Monte Golf Course,,"lodging, point_of_interest, establishment","1 Old Golf Course Rd, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.5917396,-121.8771667
ChIJ-63VoznkjYARAVVo0ftkBic,Monterey Bay Lodge,,"lodging, point_of_interest, establishment","55 Camino Aguajito, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.599096,-121.883132
ChIJlTnrLDTkjYARjr7D437CMWc,Hilton Garden Inn Monterey,,"lodging, point_of_interest, establishment","1000 Aguajito Rd, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.5912356,-121.8822862
ChIJe1c9RiLkjYARNySCU9qvWVY,Portola Hotel & Spa at Monterey Bay,,"lodging, point_of_interest, establishment","Two Portola Plaza, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.6016058,-121.8943043
ChIJMWFTXiXkjYAR14BBv4AWU24,Hotel Abrego,,"lodging, restaurant, point_of_interest, food, establishment","755 Abrego St, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.5948548,-121.8919284
ChIJ2VZToxzkjYARve8tnY5C3WE,Monterey Bay Inn,,"lodging, point_of_interest, establishment","242 Cannery Row, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.6111183,-121.8969573
ChIJzXZaoiXkjYARVmFwGbf7WaU,Casa Munras Garden Hotel & Spa,,"spa, lodging, point_of_interest, establishment","700 Munras Ave, Monterey, CA 93940, USA",93940,Monterey,California,United States,36.595442,-121.8932357
ChIJSx6SrQ9T2YARed8V_f0hOg0,San Diego,,"locality, political","San Diego, CA, USA",,San Diego,California,United States,32.715738,-117.1610838
ChIJC0ZfMUVT2YAR15-g5m_LadY,Hilton San Diego Bayfront,,"lodging, point_of_interest, establishment","1 Park Blvd, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.70400879999999,-117.1576613
ChIJrRRF3qdU2YAR7QqXnjQvPcI,"THE US GRANT, a Luxury Collection Hotel, San Diego",,"lodging, point_of_interest, establishment","326 Broadway, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.716204,-117.1615507
ChIJx10ecKhU2YARqHRRoTrNUQo,The Westgate Hotel,,"lodging, point_of_interest, establishment","1055 2nd Ave, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.7162931,-117.1624272
ChIJFYKLdVhT2YARKsGnZlE1TOk,Club Wyndham Harbour Lights,,"lodging, point_of_interest, establishment","911 Fifth Ave, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.7150115,-117.1598357
ChIJYSnfcFhT2YARuMkmvJMyCDc,Gaslamp Plaza Suites,,"lodging, point_of_interest, establishment","520 E St, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.7148706,-117.1597607
ChIJZU5PkKdU2YARNd4CMbfRaok,Courtyard by Marriott San Diego Downtown,,"lodging, point_of_interest, establishment","530 Broadway, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.7158738,-117.1594012
ChIJcZpQGahU2YARuci3H_Y1U_8,The Westin San Diego Gaslamp Quarter,,"lodging, point_of_interest, establishment","910 Broadway Cir, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.71458139999999,-117.1631935
